,Life expectancy
Adult Mortality,-0.9011303727852314
Undernourishment,-0.6199390072227323
HIV/AIDS,-0.6131874784079222
Communicable,-0.21613354953316066
NonCommunicable,0.04092304561174589
CO2,0.13654404752169957
Education Expenditure %,0.20072435824982915
Total expenditure,0.2689477607680872
Health Expenditure %,0.31999542989203544
Hepatitis B,0.36868209716332007
Alcohol,0.4511228219803691
Sanitation,0.5761016645444426
GDP,0.5908904496820996
Diphtheria,0.63300337816812
Polio,0.6404951989281962
BMI,0.6854161042008353
Schooling,0.6924453650940169
