,count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis
Life expectancy,163.0,69.60930470347648,9.250286707854073,46.586666666666666,62.946666666666665,72.65666666666667,75.55333333333334,82.71333333333334,-0.6217356785618603,-0.5441337307483827
GDP,163.0,7300.622062979409,10831.104052453185,136.18321,844.1037794033334,3045.0455303666668,7642.9750795,58666.183957333335,2.337722817020283,5.546824004619545
Schooling,163.0,12.013619631901841,3.427108852807994,0.0,10.063333333333333,12.406666666666666,14.186666666666667,20.013333333333332,-0.722352646975998,1.2106919678401806
Total expenditure,163.0,6.129163453111305,2.2605467587499026,2.025,4.6625,6.007142857142857,7.202500000000001,17.24,1.7593508240818536,6.865980011360824
Adult Mortality,163.0,161.76707566462167,96.89734403500862,12.533333333333333,75.83333333333334,141.23333333333335,216.13333333333333,550.5333333333333,1.2276508093142764,1.5730460259422627
HIV/AIDS,163.0,1.5950102249488753,3.8166875909041167,0.1,0.1,0.1,0.9433333333333334,22.513333333333332,3.606602605048914,13.879534372676607
Alcohol,163.0,4.459282343423448,3.8199235598575734,0.01,0.9960714285714286,3.7600000000000002,7.553214285714286,13.534285714285714,0.5803245261932037,-0.8407002706406161
Hepatitis B,163.0,78.21870006271848,18.89542581247044,8.0,67.68333333333334,83.21025641025642,93.69999999999999,99.0,-1.432246311212658,2.3551317705339385
Polio,163.0,82.1638036809816,16.883902934737673,9.0,73.5,87.8,95.86666666666666,99.0,-1.3718351241691398,2.0455097653538252
Diphtheria,163.0,82.57198364008181,17.355004230181986,9.0,72.93333333333334,89.0,95.73333333333333,99.0,-1.5193427511201787,2.4376492476755547
BMI,163.0,39.94621676891616,17.086274168293475,11.32,21.62,44.70666666666667,52.28666666666666,87.3,0.025944811225210623,-0.717819723502449
Health Expenditure %,163.0,6.255949594957055,2.6537059533170395,1.871653358,4.180927237666667,5.706207432666667,8.218548107666667,16.704207739333334,0.9164204963857222,1.3795270888773143
Education Expenditure %,163.0,4.513790010650221,1.9974526137016833,1.1399126807848645,3.200436317920685,4.255449771881105,5.399731469154357,16.66091842651369,2.0566915293282357,8.946983733271098
Sanitation,163.0,50.37454554783804,23.71310312287319,4.0516878558,37.870427463666665,47.891129819999996,61.98186855266667,100.0,0.3269980485545837,-0.28776493254990987
Undernourishment,163.0,10.236155419222904,10.110872630363705,2.5,3.2266666666666666,6.6,13.696666666666665,68.29333333333334,2.369616022096689,7.599572019748953
CO2,163.0,155009.6236700088,720990.5063048961,9.999999791383742,2142.6666596730547,10773.333415985111,57199.33319091797,7213699.994791667,8.358904553965509,74.12646724065638
Communicable,163.0,5144412.8401513295,19941867.660456996,340.4746666666667,71599.42033333334,402002.10400000005,3361191.3933333335,222950996.98,8.913310783106525,91.41514313591668
NonCommunicable,163.0,7603912.579582822,29405265.634151455,2748.0513333333333,410136.99433333334,1452943.9946666665,3938151.881,289655410.7933333,7.963678972731753,68.60880712274837
