Country,Region,IncomeGroup,Cluster,Life expectancy,GDP,Schooling,Adult Mortality,HIV/AIDS,Sanitation,Undernourishment,Health Expenditure %,CO2
Afghanistan,South Asia,Low income,2,58.419999999999995,355.0457871666667,8.393333333333334,265.6,0.1,47.891129819999996,29.759999999999998,9.458761310333333,3898.000000635782
Albania,Europe & Central Asia,Upper middle income,1,75.32666666666667,2182.6558587333334,12.233333333333333,47.333333333333336,0.1,43.34548027866666,6.526666666666667,5.778031157333333,4222.000009536744
Algeria,Middle East & North Africa,Lower middle income,1,73.77333333333333,2920.5650871333332,12.846666666666666,105.73333333333333,0.1,20.140720842666667,5.266666666666667,4.708841306666667,111222.00052897133
Angola,Sub-Saharan Africa,Lower middle income,2,49.266666666666666,2069.799452,8.273333333333333,347.26666666666665,2.393333333333333,47.891129819999996,37.733333333333334,3.1009997053333334,20960.666590372726
Antigua and Barbuda,Latin America & Caribbean,High income,1,75.15333333333334,9751.581994266666,9.433333333333334,125.6,0.12666666666666668,47.891129819999996,6.6,5.1242000580000004,526.666665474574
Argentina,Latin America & Caribbean,Upper middle income,3,75.22666666666667,6953.861848933333,16.606666666666666,103.93333333333334,0.1,49.54518023333333,3.24,8.599013582666666,157966.00174967447
Armenia,Europe & Central Asia,Upper middle income,1,73.49333333333334,2091.8025556466664,11.826666666666666,115.73333333333333,0.1,51.99129418466667,9.686666666666667,7.743499850666667,4643.333330154419
Australia,East Asia & Pacific,High income,3,81.96666666666667,36802.07465,20.013333333333332,62.2,0.1,63.043309105333336,2.5,8.349492040666666,374903.9988606773
Austria,Europe & Central Asia,High income,3,81.70666666666666,34448.156899333335,15.386666666666667,63.733333333333334,0.1,99.655058028,2.5,9.868678538666666,69243.33319091797
Azerbaijan,Europe & Central Asia,Upper middle income,1,71.00666666666666,3479.412705726667,11.433333333333334,121.8,0.1,23.46616512066667,5.22,2.678738706,28681.33356730144
Bahrain,Middle East & North Africa,High income,1,75.80666666666666,11028.240803333332,14.173333333333334,63.6,0.1,77.88314505800001,6.6,3.8073500786666665,23600.66672261556
Bangladesh,South Asia,Lower middle income,2,69.56666666666666,470.0899990933333,8.786666666666667,139.26666666666668,0.1,26.255770077333334,14.666666666666666,2.5079531200000003,44327.33391316733
Barbados,Latin America & Caribbean,High income,1,74.42666666666668,12047.031024666667,14.953333333333335,74.33333333333333,0.21333333333333335,47.891129819999996,5.173333333333333,6.742581558,1706.6666482289627
Belarus,Europe & Central Asia,Upper middle income,3,70.03333333333333,3980.5411485333334,14.860000000000001,216.86666666666667,0.1,80.88972179733334,2.6199999999999997,5.585650953333333,57227.333251953125
Belgium,Europe & Central Asia,High income,3,80.88666666666667,17887.829126666664,16.706666666666667,74.13333333333334,0.1,78.42620726666665,2.5,9.68895607,104632.66575113936
