,PC1,PC2,PC3,PC4,PC5,PC6
GDP,0.3261253429604177,0.033809905536368694,0.10914287889818447,-0.15639034476328512,0.30433537631941776,0.2139047556164803
Schooling,0.31360127986039926,0.13807358300703215,0.03361129705258959,0.03582859627928516,0.2192394631304269,-0.048064124445433676
Total expenditure,0.11668233411965555,-0.32694400193828,0.4082648233473528,0.09438192462681633,-0.2810627319222315,-0.27686999101411675
Adult Mortality,-0.3023380250612508,-0.016261547265145868,0.06800145325109724,0.3782164338112614,0.2982150098918283,-0.05881267678814456
HIV/AIDS,-0.1790917872966803,-0.024228894786620776,0.18272580633534402,0.5226542450162811,0.44004521261555035,0.12526023247347268
Alcohol,0.2386844895850468,0.06907735968916298,0.3161351660421119,0.02079096685897389,0.3568148996066687,-0.3377571252209162
Hepatitis B,0.21432105227417123,0.16832887711646558,-0.3485849815361032,0.37328969430831577,-0.1427621587523587,-0.27348008179131894
Polio,0.3150660663392845,0.13028251653467554,-0.20607411937139636,0.31186672840330754,-0.15875691431970224,-0.038642656961422675
Diphtheria,0.3101367781070769,0.14298022014309766,-0.19764759369934157,0.325264669559461,-0.17558089734623017,-0.04137991658605123
BMI,0.2860772169814951,-0.23924699265434257,0.06752631200078163,-0.1552336470223973,-0.03763852881960167,0.19599022496155094
Health Expenditure %,0.15168856315974735,-0.3123211152046587,0.39806826933798434,0.1356652804934012,-0.23861927570547506,-0.2895668618692906
Education Expenditure %,0.1249299813224796,-0.2708720602329257,0.15992671704987227,0.37121149607375303,-0.14841149798866726,0.6284161184597641
Sanitation,0.27300865237600974,0.0751998822819717,0.07844870254410614,-0.06826742829687917,0.3312068620535121,-0.15682202555334632
Undernourishment,-0.280687270408025,0.013375785104312626,0.025470876444809852,0.034875826248038054,-0.059968298080191544,-0.2674152257226754
CO2,0.17035783079171674,0.4391760581638743,0.27763084320453757,-0.08426291847852645,-0.06926150491288263,0.21592420577985244
Communicable,-0.23661545303649373,0.3790020707266248,0.2721542587728664,0.11395929761133478,-0.19388860903561836,0.050093110715184484
NonCommunicable,-0.032550102873751825,0.48064348453360656,0.36433019007558043,0.005968032217466637,-0.24072714579521332,0.040585425963175735
